# X, Y, VelX, VelY |[221.;103.;  0.;  0.][238. ;229. ; 18. ; 18.5]
0.35294,0.09607,0.61111,-0.10811
0.39916,0.08734,0.55556,-0.05405
0.44118,0.08297,0.61111,0.00000
0.48739,0.08297,0.61111,0.10811
0.53361,0.09170,0.61111,0.05405
0.57983,0.09607,0.55556,0.10811
0.62185,0.10480,0.50000,0.16216
0.65966,0.11790,0.50000,0.27027
0.69748,0.13974,0.44444,0.32432
0.73109,0.16594,0.38889,0.37838
0.76050,0.19651,0.44444,0.43243
0.79412,0.23144,0.33333,0.54054
0.81933,0.27511,0.27778,0.54054
0.84034,0.31878,0.22222,0.59459
0.85714,0.36681,0.16667,0.70270
0.86975,0.42358,0.16667,0.70270
0.88235,0.48035,0.05556,0.70270
0.88655,0.53712,0.05556,0.75676
0.89076,0.59825,-0.05556,0.75676
0.88655,0.65939,-0.16667,0.70270
0.87395,0.71616,-0.27778,0.70270
0.85294,0.77293,-0.27778,0.59459
0.83193,0.82096,-0.38889,0.54054
0.80252,0.86463,-0.50000,0.54054
0.76471,0.90830,-0.55556,0.43243
0.72269,0.94323,-0.61111,0.37838
0.67647,0.97380,-0.77778,0.21622
0.61765,0.99127,-0.77778,0.10811
0.55882,1.00000,-0.83333,-0.21622
0.49580,0.98253,-0.75000,0.00000
0.43908,0.98253,-0.86111,-0.37838
0.37395,0.95197,-0.72222,-0.48649
0.31933,0.91266,-0.55556,-0.81081
0.27731,0.84716,-0.61111,-0.62162
0.23109,0.79694,-0.47222,-0.78378
0.19538,0.73362,-0.30556,-0.86486
0.17227,0.66376,-0.16667,-0.97297
0.15966,0.58515,-0.02778,-0.81081
0.15756,0.51965,0.08333,-0.91892
0.16387,0.44541,0.16667,-0.75676
0.17647,0.38428,0.27778,-0.70270
0.19748,0.32751,0.38889,-0.59459
0.22689,0.27948,0.44444,-0.54054
0.26050,0.23581,0.50000,-0.43243
0.29832,0.20087,0.55556,-0.37838
0.34034,0.17031,0.55556,-0.27027
0.38235,0.14847,0.61111,-0.21622
0.42857,0.13100,0.61111,-0.10811
0.47479,0.12227,0.61111,0.00000
0.52101,0.12227,0.66667,0.05405
0.57143,0.12664,0.61111,0.05405
0.61765,0.13100,0.61111,0.16216
0.66387,0.14410,0.61111,0.21622
0.71008,0.16157,0.61111,0.27027
0.75630,0.18341,0.50000,0.27027
0.79412,0.20524,0.50000,0.37838
0.83193,0.23581,0.38889,0.37838
0.86134,0.26638,0.38889,0.43243
0.89076,0.30131,0.27778,0.48649
0.91176,0.34061,0.22222,0.48649
0.92857,0.37991,0.22222,0.54054
0.94538,0.42358,0.11111,0.54054
0.95378,0.46725,0.05556,0.54054
0.95798,0.51092,-0.05556,0.48649
0.95378,0.55022,0.00000,0.54054
0.95378,0.59389,-0.16667,0.43243
0.94118,0.62882,-0.16667,0.43243
0.92857,0.66376,-0.22222,0.37838
0.91176,0.69432,-0.33333,0.32432
0.88655,0.72052,-0.33333,0.37838
0.86134,0.75109,-0.38889,0.27027
0.83193,0.77293,-0.50000,0.32432
0.79412,0.79913,-0.55556,0.27027
0.75210,0.82096,-0.61111,0.21622
0.70588,0.83843,-0.61111,0.21622
0.65966,0.85590,-0.77778,0.10811
0.60084,0.86463,-0.77778,0.00000
0.54202,0.86463,-0.72222,-0.05405
0.48739,0.86026,-0.83333,-0.27027
0.42437,0.83843,-0.72222,-0.37838
0.36975,0.80786,-0.72222,-0.54054
0.31513,0.76419,-0.50000,-0.59459
0.27731,0.71616,-0.44444,-0.75676
0.24370,0.65502,-0.33333,-0.75676
0.21849,0.59389,-0.22222,-0.81081
0.20168,0.52838,0.02778,-0.75676
0.20378,0.46725,-0.02778,-0.81081
0.20168,0.40175,0.11111,-0.70270
0.21008,0.34498,0.22222,-0.70270
0.22689,0.28821,0.27778,-0.59459
0.24790,0.24017,0.33333,-0.48649
0.27311,0.20087,0.44444,-0.48649
0.30672,0.16157,0.38889,-0.37838
0.33613,0.13100,0.50000,-0.32432
0.37395,0.10480,0.50000,-0.21622
0.41176,0.08734,0.55556,-0.16216
0.45378,0.07424,0.55556,-0.05405
0.49580,0.06987,0.55556,0.00000
0.53782,0.06987,0.52778,0.10811
0.57773,0.07860,0.52778,0.05405
