# X, Y, VelX, VelY |[ 86.;106.;  0.;  0.][242.;306.; 88.;144.]
0.61983,0.98039,0.00000,0.00000
0.87603,0.40523,0.09091,-0.40278
0.90909,0.21569,0.00000,-0.31944
0.90909,0.06536,0.02273,-0.01389
0.91736,0.05882,-0.02273,-0.01389
0.90909,0.05229,0.00000,0.00000
0.90909,0.05229,-0.02273,0.02778
0.90083,0.06536,-0.04545,0.61111
0.88430,0.35294,-0.04545,0.59722
0.86777,0.63399,0.00000,0.16667
0.86777,0.71242,0.00000,0.23611
0.86777,0.82353,-0.02273,0.02778
0.85950,0.83660,0.00000,0.04167
0.85950,0.85621,0.02273,0.01389
0.86777,0.86275,0.18182,-0.52778
0.93388,0.61438,-0.04545,-0.12500
0.91736,0.55556,-0.04545,-0.19444
0.90083,0.46405,-0.02273,-0.02778
0.89256,0.45098,-0.09091,-0.02778
0.85950,0.43791,-0.18182,0.02778
0.79339,0.45098,-0.02273,0.01389
0.78512,0.45752,-0.13636,0.06944
0.73554,0.49020,-0.13636,0.06944
0.68595,0.52288,-0.04545,0.04167
0.66942,0.54248,-0.56818,0.38889
0.46281,0.72549,-1.00000,-0.69444
0.09917,0.39869,0.00000,-0.01389
0.09917,0.39216,0.04545,-0.05556
0.11570,0.36601,0.02273,-0.01389
0.12397,0.35948,0.00000,0.02778
0.12397,0.37255,-0.04545,0.02778
0.10744,0.38562,0.00000,0.00000
0.28099,0.89542,0.68182,0.19444
0.52893,0.98693,0.31818,-0.05556
0.64463,0.96078,0.06818,-0.02778
0.66942,0.94771,0.27273,-0.29167
0.76860,0.81046,0.25000,-1.00000
0.85950,0.33987,0.04545,-0.48611
0.87603,0.11111,0.04545,-0.22222
0.89256,0.00654,0.00000,-0.01389
0.89256,0.00000,0.00000,0.01389
0.89256,0.00654,-0.02273,0.04167
0.88430,0.02614,-0.09091,0.13889
0.85124,0.09150,-0.02273,0.44444
0.84298,0.30065,0.00000,0.04167
0.84298,0.32026,0.00000,0.13889
0.84298,0.38562,-0.02273,0.29167
0.83471,0.52288,-0.02273,0.26389
0.82645,0.64706,0.00000,0.16667
0.82645,0.72549,0.00000,0.01389
0.82645,0.73203,0.00000,0.06944
0.82645,0.76471,0.00000,0.04167
0.82645,0.78431,0.02273,-0.01389
0.83471,0.77778,-0.02273,-0.01389
0.82645,0.77124,-0.04545,-0.04167
0.80992,0.75163,0.04545,-0.02778
0.82645,0.73856,-0.02273,-0.06944
0.81818,0.70588,0.04545,-0.04167
0.83471,0.68627,0.00000,-0.04167
0.83471,0.66667,0.00000,0.00000
