# X, Y, VelX, VelY |[  2.;162.;  0.;  0.][290.;314.;102.; 48.]
0.40000,0.51592,-0.01961,-0.08333
0.39310,0.50318,-0.03922,-0.12500
0.37931,0.48408,-0.03922,-0.04167
0.36552,0.47771,-0.01961,-0.12500
0.35862,0.45860,-0.01961,-0.08333
0.35172,0.44586,-0.01961,-0.12500
0.34483,0.42675,0.00000,-0.12500
0.34483,0.40764,0.00000,-0.12500
0.34483,0.38854,0.00000,-0.08333
0.34483,0.37580,0.00000,-0.08333
0.34483,0.36306,0.01961,-0.12500
0.35172,0.34395,0.00000,-0.04167
0.35172,0.33758,0.01961,-0.08333
0.35862,0.32484,0.00000,0.00000
0.35862,0.32484,0.01961,0.00000
0.36552,0.32484,-0.03922,0.08333
0.35172,0.33758,0.01961,0.12500
0.35862,0.35669,-0.01961,0.12500
0.35172,0.37580,0.01961,0.16667
0.35862,0.40127,-0.01961,0.16667
0.35172,0.42675,0.01961,0.20833
0.35862,0.45860,0.01961,0.16667
0.36552,0.48408,0.00000,0.16667
0.36552,0.50955,0.05882,0.12500
0.38621,0.52866,0.01961,0.16667
0.39310,0.55414,0.03922,0.12500
0.40690,0.57325,0.03922,0.08333
0.42069,0.58599,0.05882,0.08333
0.44138,0.59873,0.03922,0.08333
0.45517,0.61146,0.05882,0.00000
0.47586,0.61146,0.07843,0.04167
0.50345,0.61783,0.05882,0.04167
0.52414,0.62420,0.03922,0.00000
0.53793,0.62420,0.11765,-0.04167
0.57931,0.61783,0.07843,-0.08333
0.60690,0.60510,0.07843,-0.04167
0.63448,0.59873,0.03922,-0.04167
0.64828,0.59236,0.07843,-0.12500
0.67586,0.57325,0.07843,-0.12500
0.70345,0.55414,0.07843,-0.16667
0.73103,0.52866,0.03922,-0.20833
0.74483,0.49682,0.05882,-0.16667
0.76552,0.47134,0.05882,-0.25000
0.78621,0.43312,0.01961,-0.16667
0.79310,0.40764,0.05882,-0.29167
0.81379,0.36306,0.03922,-0.29167
