# X, Y, VelX, VelY |[ 74.;128.;  0.;  0.][328.;272.;108.;184.]
0.37805,0.63235,0.03704,-0.07609
0.39024,0.58088,0.01852,-0.07609
0.39634,0.52941,0.03704,-0.06522
0.40854,0.48529,0.07407,-0.04348
0.43293,0.45588,0.07407,-0.03261
0.45732,0.43382,0.05556,-0.04348
0.47561,0.40441,0.05556,0.00000
0.49390,0.40441,0.07407,-0.01087
0.51829,0.39706,0.03704,0.00000
0.53049,0.39706,0.09259,0.02174
0.56098,0.41176,0.01852,0.01087
0.56707,0.41912,0.07407,0.03261
0.59146,0.44118,0.05556,0.04348
0.60976,0.47059,0.07407,0.03261
0.63415,0.49265,0.03704,0.04348
0.64634,0.52206,0.05556,0.05435
0.66463,0.55882,0.07407,0.04348
0.68902,0.58824,0.03704,0.04348
0.70122,0.61765,0.11111,0.07609
0.73780,0.66912,0.00000,0.01087
0.73780,0.67647,0.05556,0.05435
0.75610,0.71324,0.05556,0.02174
0.77439,0.72794,0.07407,0.03261
0.79878,0.75000,0.03704,0.01087
0.81098,0.75735,0.03704,0.01087
0.82317,0.76471,0.03704,0.00000
0.83537,0.76471,0.03704,-0.02174
0.84756,0.75000,0.01852,-0.02174
0.85366,0.73529,0.03704,-0.04348
0.86585,0.70588,0.03704,-0.02174
0.87805,0.69118,0.00000,-0.05435
0.87805,0.65441,-0.01852,-0.03261
0.87195,0.63235,0.01852,-0.03261
0.87805,0.61029,0.01852,-0.09783
0.88415,0.54412,-0.03704,-0.07609
0.87195,0.49265,-0.01852,-0.02174
0.86585,0.47794,-0.01852,-0.01087
0.85976,0.47059,-0.03704,0.00000
0.84756,0.47059,0.00000,0.00000
0.84756,0.47059,-0.03704,0.01087
0.83537,0.47794,-0.03704,0.03261
0.82317,0.50000,-0.01852,0.01087
0.81707,0.50735,-0.05556,0.05435
0.79878,0.54412,-0.01852,0.02174
0.79268,0.55882,-0.05556,0.05435
0.77439,0.59559,-0.07407,0.04348
0.75000,0.62500,-0.05556,0.04348
0.73171,0.65441,-0.05556,0.03261
0.71341,0.67647,-0.03704,0.02174
0.70122,0.69118,-0.03704,0.02174
0.68902,0.70588,-0.12963,0.06522
0.64634,0.75000,-0.07407,0.03261
0.62195,0.77206,-0.03704,0.02174
0.60976,0.78676,-0.16667,0.05435
0.55488,0.82353,-0.16667,0.03261
0.50000,0.84559,-0.12963,0.00000
0.45732,0.84559,-0.11111,0.00000
0.42073,0.84559,-0.05556,-0.01087
0.40244,0.83824,-0.11111,0.00000
0.36585,0.83824,-0.07407,-0.02174
0.34146,0.82353,-0.09259,-0.02174
0.31098,0.80882,-0.05556,-0.04348
0.29268,0.77941,-0.07407,-0.03261
0.26829,0.75735,-0.03704,-0.03261
0.25610,0.73529,-0.05556,-0.05435
0.23780,0.69853,-0.01852,-0.03261
0.23171,0.67647,-0.03704,-0.04348
0.21951,0.64706,-0.03704,-0.03261
0.20732,0.62500,-0.01852,-0.04348
0.20122,0.59559,0.00000,-0.03261
0.20122,0.57353,0.00000,-0.02174
0.20122,0.55882,-0.01852,-0.02174
0.19512,0.54412,0.01852,0.00000
